com_address,coordinates
"Quezon City, Metro Manila","(14.647660255432129, 121.05149841308594)"
"Manila, Metro Manila","(14.588640213012695, 120.98454284667969)"
"Parañaque, Metro Manila","(14.471159934997559, 121.02198791503906)"
"Makati, Metro Manila","(14.568719863891602, 121.0281982421875)"
"Mandaluyong, Metro Manila","(14.578350067138672, 121.03278350830078)"
"Pasig, Metro Manila","(14.56093978881836, 121.08181762695312)"
"Taguig City, Metro Manila","(14.529399871826172, 121.07035064697266)"
"San Juan, Metro Manila","(14.604729652404785, 121.02903747558594)"
"Caloocan City, Metro Manila","(14.651359558105469, 120.97247314453125)"
"Pasay City, Metro Manila","(14.544099807739258, 120.99494934082031)"
"Las Piñas, Metro Manila","(14.44906997680664, 120.98255157470703)"
"Muntinlupa, Metro Manila","(14.395139694213867, 121.04489135742188)"
"Marikina, Metro Manila","(14.632969856262207, 121.09860229492188)"
"Antipolo, Rizal","(14.586259841918945, 121.16864776611328)"
"Davao City, Davao del Sur","(7.06574010848999, 125.61080169677734)"
"Cainta, Rizal","(14.628419876098633, 121.12393951416016)"
"Cebu City, Cebu","(10.311209678649902, 123.89234161376953)"
"Bacoor City, Cavite","(14.419079780578613, 120.97476959228516)"
"Valenzuela, Metro Manila","(14.697310447692871, 120.97496795654297)"
"San Pedro, Laguna","(14.34257984161377, 121.05310821533203)"
"Calamba, Laguna","(14.174639701843262, 121.1097183227539)"
"Imus City, Cavite","(14.40703010559082, 120.94058227539062)"
"Taytay, Rizal","(14.57030963897705, 121.13172149658203)"
"Binangonan, Rizal","(14.481710433959961, 121.18743133544922)"
"Dasmariñas, Cavite","(14.300219535827637, 120.95437622070312)"
"Los Baños, Laguna","(14.181879997253418, 121.22521209716797)"
"Santa Rosa, Laguna","(14.315719604492188, 121.1102294921875)"
"Balanga, Bataan","(14.682450294494629, 120.54086303710938)"
"Malabon, Metro Manila","(14.657369613647461, 120.9510498046875)"
"Biñan, Laguna","(14.32876968383789, 121.08985137939453)"
"Navotas, Metro Manila","(14.658180236816406, 120.94754791259766)"
"Santa Cruz, Laguna","(14.278200149536133, 121.4161376953125)"
"Pateros, Metro Manila","(14.542510032653809, 121.0644302368164)"
"Lipa City, Batangas","(13.956990242004395, 121.16570281982422)"
"Baguio City, Benguet","(16.41301918029785, 120.59075927734375)"
"San Mateo, Rizal","(14.718689918518066, 121.13829803466797)"
"Batangas City, Batangas","(13.762350082397461, 121.05706787109375)"
"San Fernando, Pampanga","(15.061429977416992, 120.65493774414062)"
"General Trias, Cavite","(14.386520385742188, 120.88062286376953)"
"San Jose Del Monte, Bulacan","(14.810150146484375, 121.04741668701172)"
"Rodriguez, Rizal","(14.801190376281738, 121.12396240234375)"
"Cabanatuan City, Nueva Ecija","(15.485030174255371, 120.96965789794922)"
"San Pablo City, Laguna","(14.062450408935547, 121.32747650146484)"
"Malolos, Bulacan","(14.851240158081055, 120.81807708740234)"
"Olongapo City, Zambales","(14.84214973449707, 120.28785705566406)"
"Lucena City, Quezon","(13.946009635925293, 121.58979797363281)"
"Cabuyao City, Laguna","(14.272130012512207, 121.12403106689453)"
"Marilao, Bulacan","(14.753179550170898, 120.95478820800781)"
"Teresa, Rizal","(14.559260368347168, 121.20710754394531)"
"Tuguegarao City, Cagayan","(17.617979049682617, 121.72789764404297)"
"Bacolod City, Negros Occidental","(10.667960166931152, 122.94969940185547)"
"Tarlac, Tarlac","(15.47799015045166, 120.58631134033203)"
"Baliuag, Bulacan","(14.958869934082031, 120.8990478515625)"
"Nasugbu, Batangas","(14.074700355529785, 120.63166809082031)"
"Tagum, Davao del Norte","(7.449480056762695, 125.80580139160156)"
"Calauan, Laguna","(14.163700103759766, 121.30281829833984)"
"Lapu-Lapu City, Cebu","(10.31719970703125, 123.96472930908203)"
"Samal, Bataan","(14.771439552307129, 120.54350280761719)"
"Orani, Bataan","(14.818309783935547, 120.5171127319336)"
